2026-06-30 13:54:31,414 | dataflows            | ERROR    | data_source_manager:_get_baostock_stock_info:1722 | ❌ [股票信息] BaoStock登录失败: 网络接收错误。
2026-06-30 13:54:31,419 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.BAOSTOCK] 返回无效信息
2026-06-30 13:54:31,422 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1646 | ❌ 所有数据源都无法获取000001的股票信息
2026-06-30 13:54:31,530 | dataflows            | WARNING  | data_source_manager:get_stock_info:1528 | ⚠️ [数据来源: akshare] 不支持股票信息获取，尝试降级: 000001
2026-06-30 13:54:31,534 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1598 | 🔄 akshare失败，尝试备用数据源获取股票信息...
2026-06-30 13:54:31,560 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:patched_get:101 | ⚠️ curl_cffi 请求失败，回退到标准 requests: Failed to perform, curl: (6) Could not resolve host: push2.eastmoney.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2026-06-30 13:54:31,573 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1705 | ❌ [股票信息] AKShare获取失败: 000001, 错误: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f120%2Cf121%2Cf122%2Cf174%2Cf175%2Cf59%2Cf163%2Cf43%2Cf57%2Cf58%2Cf169%2Cf170%2Cf46%2Cf44%2Cf51%2Cf168%2Cf47%2Cf164%2Cf116%2Cf60%2Cf45%2Cf52%2Cf50%2Cf48%2Cf167%2Cf117%2Cf71%2Cf161%2Cf49%2Cf530%2Cf135%2Cf136%2Cf137%2Cf138%2Cf139%2Cf141%2Cf142%2Cf144%2Cf145%2Cf147%2Cf148%2Cf140%2Cf143%2Cf146%2Cf149%2Cf55%2Cf62%2Cf162%2Cf92%2Cf173%2Cf104%2Cf105%2Cf84%2Cf85%2Cf183%2Cf184%2Cf185%2Cf186%2Cf187%2Cf188%2Cf189%2Cf190%2Cf191%2Cf192%2Cf107%2Cf111%2Cf86%2Cf177%2Cf78%2Cf110%2Cf262%2Cf263%2Cf264%2Cf267%2Cf268%2Cf255%2Cf256%2Cf257%2Cf258%2Cf127%2Cf199%2Cf128%2Cf198%2Cf259%2Cf260%2Cf261%2Cf171%2Cf277%2Cf278%2Cf279%2Cf288%2Cf152%2Cf250%2Cf251%2Cf252%2Cf253%2Cf254%2Cf269%2Cf270%2Cf271%2Cf272%2Cf273%2Cf274%2Cf275%2Cf276%2Cf265%2Cf266%2Cf289%2Cf290%2Cf286%2Cf285%2Cf292%2Cf293%2Cf294%2Cf295%2Cf43&secid=0.sz000001 (Caused by NameResolutionError("HTTPSConnection(host='push2.eastmoney.com', port=443): Failed to resolve 'push2.eastmoney.com' ([Errno 8] nodename nor servname provided, or not known)"))
2026-06-30 13:54:31,577 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.AKSHARE] 返回无效信息
2026-06-30 13:54:44,528 | dataflows            | WARNING  | data_source_manager:_check_available_sources:443 | ⚠️ [数据源配置] 从数据库读取失败: No module named 'app'，将检查所有已安装的数据源
2026-06-30 13:54:44,529 | dataflows            | WARNING  | data_source_manager:_get_datasource_configs_from_db:535 | ⚠️ 从数据库读取数据源配置失败: No module named 'app'
